"ID","Data","ID Medicamento","Natureza","Local","Validade","Quantidade"
"1","10/02/2024","1","Entrada","A0001","01/01/2025","100"
"2","06/09/2021","2","Entrada","B0001","01/06/2024","200"
"3","27/06/2022","2","Entrada","B0002","15/09/2026","150"
"4","24/08/2021","3","Entrada","A0003","01/02/2027","100"
"5","03/05/2021","5","Entrada","C0001","15/09/2026","300"
"6","08/09/2022","5","Saída","C0001","","150"
"7","08/09/2022","5","Entrada","B0003","05/06/2027","100"
"8","25/05/2023","5","Saída","C0001","","100"
"9","15/09/2022","9","Entrada","A0002","01/01/2025","200"
"10","08/08/2023","9","Entrada","A0004","15/03/2026","150"
"11","08/02/2024","10","Entrada","A0005","01/01/2024","400"
"12","13/06/2022","11","Entrada","G0001","01/02/2029","350"
"13","15/08/2022","11","Saída","G0001","","50"
"14","28/02/2024","12","Entrada","G0002","01/01/2025","50"
"15","16/11/2021","13","Entrada","A0006","01/01/2025","450"
"16","16/02/2021","14","Entrada","B0004","01/07/2024","100"
"17","23/05/2023","14","Saída","B0004","","50"
"18","29/11/2022","15","Entrada","A0007","15/09/2026","150"
"19","07/05/2024","15","Entrada","A0008","05/06/2027","250"
"20","27/01/2021","17","Entrada","B0005","08/04/2023","200"
"21","06/12/2023","20","Entrada","B0006","01/01/2028","300"
"22","19/01/2022","21","Entrada","C0003","15/09/2026","400"
"23","16/02/2022","22","Entrada","A0009","01/07/2024","100"
"24","05/04/2023","24","Entrada","B0007","05/06/2027","200"
"25","26/01/2024","25","Entrada","C0002","12/12/2024","300"
"26","11/06/2021","26","Entrada","B0008","08/04/2026","350"
"27","02/12/2021","30","Entrada","B0009","05/06/2027","400"
"28","27/10/2021","31","Entrada","A0010","11/11/2025","500"
"29","09/12/2022","32","Entrada","A0011","01/07/2024","50"
"30","24/03/2022","34","Entrada","A0012","12/12/2024","150"
"31","01/10/2022","34","Entrada","A0013","08/04/2026","200"
"32","18/02/2023","34","Saída","A0013","","100"
"33","30/10/2022","35","Entrada","B0010","11/11/2025","350"
"34","30/11/2023","35","Saída","B0010","","150"
"35","04/07/2023","36","Entrada","B0011","05/06/2027","200"

